rank,ticker,total_score,data_quality_score,total_bonus_score,debt_free_flag,net_cash_status,debt_to_equity_ratio,revenue,revenue_growth_rate,operating_income,net_income,roic,roic_using_total_assets,invested_capital,total_assets,equity,total_debt,cash,missing_critical,missing_items,revenue_previous,long_term_debt,short_term_debt,is_debt_free,debt_free_bonus,net_cash_bonus
1,6861,115,100,15,True,実質無借金,0.0,1059145000000.0,9.496344418621963,549775000000.0,398656000000.0,12.380121033844697,False,3108552000000.0,3289224000000.0,3108552000000.0,0.0,579051000000.0,False,[],967288000000.0,,,True,10,5
2,6954,115,100,15,True,実質無借金,0.0,797129000000.0,0.23325294175340827,158846000000.0,147557000000.0,6.447625315662972,False,1724545000000.0,1937031000000.0,1724545000000.0,0.0,590504000000.0,False,[],795274000000.0,,,True,10,5
3,7974,115,100,15,True,実質無借金,0.0,1164922000000.0,-30.322005664332945,282554000000.0,278806000000.0,7.260063590040253,False,2724326000000.0,3398515000000.0,2724326000000.0,0.0,1586275000000.0,False,[],1671865000000.0,,,True,10,5
4,9684,115,100,15,True,実質無借金,0.0,324506000000.0,-8.934624969130953,40586000000.0,24414000000.0,8.453856728817897,False,336062000000.0,416160000000.0,336062000000.0,0.0,247760000000.0,False,[],356344000000.0,,,True,10,5
5,6861,115,100,15,True,実質無借金,0.0,1059145000000.0,9.496344418621963,549775000000.0,398656000000.0,12.380121033844697,False,3108552000000.0,3289224000000.0,3108552000000.0,0.0,579051000000.0,False,[],967288000000.0,,,True,10,5
6,9684,115,100,15,True,実質無借金,0.0,324506000000.0,-8.934624969130953,40586000000.0,24414000000.0,8.453856728817897,False,336062000000.0,416160000000.0,336062000000.0,0.0,247760000000.0,False,[],356344000000.0,,,True,10,5
7,7974,115,100,15,True,実質無借金,0.0,1164922000000.0,-30.322005664332945,282554000000.0,278806000000.0,7.260063590040253,False,2724326000000.0,3398515000000.0,2724326000000.0,0.0,1586275000000.0,False,[],1671865000000.0,,,True,10,5
8,6954,115,100,15,True,実質無借金,0.0,797129000000.0,0.23325294175340827,158846000000.0,147557000000.0,6.447625315662972,False,1724545000000.0,1937031000000.0,1724545000000.0,0.0,590504000000.0,False,[],795274000000.0,,,True,10,5
9,9735,105,100,5,False,実質無借金,0.056948219659667794,1199942000000.0,3.914474253944611,144306000000.0,108109000000.0,7.523264846491114,False,1342691000000.0,2145576000000.0,1270347000000.0,72344000000.0,549773000000.0,False,[],1154740000000.0,,,False,0,5
10,9697,105,100,5,False,実質無借金,0.05265506864690261,169604000000.0,11.281411980841153,65777000000.0,48453000000.0,19.328391102305023,False,238219000000.0,312982000000.0,226303000000.0,11916000000.0,166783000000.0,False,[],152410000000.0,,,False,0,5
11,8306,105,100,5,False,実質無借金,1.1666525262562082,6838439000000.0,16.304433417945415,2550634000000.0,1862946000000.0,4.015793868828956,False,44460544000000.0,413113501000000.0,20520385000000.0,23940159000000.0,109095437000000.0,False,[],5879775000000.0,,,False,0,5
12,9983,105,100,5,False,実質無借金,0.22590146121071744,3400539000000.0,9.559235732815779,562561000000.0,433009000000.0,14.131578994586622,False,2786615000000.0,3859353000000.0,2273115000000.0,513500000000.0,893239000000.0,False,[],3103836000000.0,,,False,0,5
13,4063,105,100,5,False,実質無借金,0.0036120339648298004,2561249000000.0,6.058625960014692,742105000000.0,534021000000.0,11.101495497948308,False,4679311000000.0,5636601000000.0,4662470000000.0,16841000000.0,1708438000000.0,False,[],2414937000000.0,,,False,0,5
14,6098,105,100,5,False,実質無借金,0.12916810399720077,3557478000000.0,4.126630473596895,490543000000.0,408504000000.0,18.799669535872003,False,1826522000000.0,2772252000000.0,1617582000000.0,208940000000.0,808625000000.0,False,[],3416492000000.0,,,False,0,5
15,7267,105,100,5,False,実質無借金,0.3587576032149845,21688767000000.0,6.167591227326986,1213486000000.0,835837000000.0,5.0716587163292335,False,16748765000000.0,30775867000000.0,12326529000000.0,4422236000000.0,4528795000000.0,False,[],20428802000000.0,,,False,0,5
16,9989,105,100,5,False,実質無借金,0.14335926203311655,801811000000.0,6.655431065329213,44500000000.0,30750000000.0,10.101173876386275,False,308380000000.0,444007000000.0,269714000000.0,38666000000.0,64956000000.0,False,[],751777000000.0,,,False,0,5
17,8306,105,100,5,False,実質無借金,1.1666525262562082,6838439000000.0,16.304433417945415,2550634000000.0,1862946000000.0,4.015793868828956,False,44460544000000.0,413113501000000.0,20520385000000.0,23940159000000.0,109095437000000.0,False,[],5879775000000.0,,,False,0,5
18,6098,105,100,5,False,実質無借金,0.12916810399720077,3557478000000.0,4.126630473596895,490543000000.0,408504000000.0,18.799669535872003,False,1826522000000.0,2772252000000.0,1617582000000.0,208940000000.0,808625000000.0,False,[],3416492000000.0,,,False,0,5
19,9735,105,100,5,False,実質無借金,0.056948219659667794,1199942000000.0,3.914474253944611,144306000000.0,108109000000.0,7.523264846491114,False,1342691000000.0,2145576000000.0,1270347000000.0,72344000000.0,549773000000.0,False,[],1154740000000.0,,,False,0,5
20,8766,105,100,5,False,実質無借金,0.04476129058182232,7584167000000.0,7.116267317560679,1450272000000.0,1055276000000.0,19.139772944943594,False,5304088000000.0,31237340000000.0,5076842000000.0,227246000000.0,1071138000000.0,False,[],7080313000000.0,,,False,0,5
21,8411,105,100,5,False,実質無借金,2.1541144435461677,3645206000000.0,22.69008989360055,1190084000000.0,885433000000.0,2.5293307268188325,False,32935938000000.0,283320404000000.0,10442214000000.0,22493724000000.0,72483086000000.0,False,[],2971068000000.0,,,False,0,5
22,9983,105,100,5,False,実質無借金,0.22590146121071744,3400539000000.0,9.559235732815779,562561000000.0,433009000000.0,14.131578994586622,False,2786615000000.0,3859353000000.0,2273115000000.0,513500000000.0,893239000000.0,False,[],3103836000000.0,,,False,0,5
23,8766,105,100,5,False,実質無借金,0.04476129058182232,7584167000000.0,7.116267317560679,1450272000000.0,1055276000000.0,19.139772944943594,False,5304088000000.0,31237340000000.0,5076842000000.0,227246000000.0,1071138000000.0,False,[],7080313000000.0,,,False,0,5
24,9989,105,100,5,False,実質無借金,0.14335926203311655,801811000000.0,6.655431065329213,44500000000.0,30750000000.0,10.101173876386275,False,308380000000.0,444007000000.0,269714000000.0,38666000000.0,64956000000.0,False,[],751777000000.0,,,False,0,5
25,4063,105,100,5,False,実質無借金,0.0036120339648298004,2561249000000.0,6.058625960014692,742105000000.0,534021000000.0,11.101495497948308,False,4679311000000.0,5636601000000.0,4662470000000.0,16841000000.0,1708438000000.0,False,[],2414937000000.0,,,False,0,5
26,9697,105,100,5,False,実質無借金,0.05265506864690261,169604000000.0,11.281411980841153,65777000000.0,48453000000.0,19.328391102305023,False,238219000000.0,312982000000.0,226303000000.0,11916000000.0,166783000000.0,False,[],152410000000.0,,,False,0,5
27,8411,105,100,5,False,実質無借金,2.1541144435461677,3645206000000.0,22.69008989360055,1190084000000.0,885433000000.0,2.5293307268188325,False,32935938000000.0,283320404000000.0,10442214000000.0,22493724000000.0,72483086000000.0,False,[],2971068000000.0,,,False,0,5
28,7267,105,100,5,False,実質無借金,0.3587576032149845,21688767000000.0,6.167591227326986,1213486000000.0,835837000000.0,5.0716587163292335,False,16748765000000.0,30775867000000.0,12326529000000.0,4422236000000.0,4528795000000.0,False,[],20428802000000.0,,,False,0,5
29,8058,100,100,0,False,,0.5699076735611739,18617601000000.0,-4.8549640806760115,371097000000.0,950709000000.0,1.7661654705842036,False,14708016000000.0,21496104000000.0,9368714000000.0,5339302000000.0,1536624000000.0,False,[],19567601000000.0,,,False,0,0
30,4503,100,100,0,False,,0.5494288801292578,1912323000000.0,19.246516744072352,40248000000.0,50747000000.0,1.2015962939094913,False,2344681000000.0,3339544000000.0,1513255000000.0,831426000000.0,188372000000.0,False,[],1603672000000.0,,,False,0,0
31,9719,100,100,0,False,,1.0823141857113445,596065000000.0,24.10083550729013,66122000000.0,45035000000.0,7.627433144152873,False,606828000000.0,885029000000.0,291420000000.0,315408000000.0,105623000000.0,False,[],480307000000.0,,,False,0,0
32,9501,100,100,0,False,,1.6408339691021667,6810391000000.0,-1.5610139240528285,234453000000.0,161278000000.0,1.6531568833513623,False,9927497000000.0,14986993000000.0,3759228000000.0,6168269000000.0,936335000000.0,False,[],6918388000000.0,,,False,0,0
33,9502,100,100,0,False,,0.9894653659776,3669233000000.0,1.6291483469762749,242045000000.0,202087000000.0,3.0562940827690435,False,5543691000000.0,7124812000000.0,2786523000000.0,2757168000000.0,293547000000.0,False,[],3610414000000.0,,,False,0,0
34,9503,100,100,0,False,,1.274302542979896,4337111000000.0,6.8417887769477925,468877000000.0,420364000000.0,4.707144675465298,False,6972675000000.0,9652655000000.0,3065852000000.0,3906823000000.0,942388000000.0,False,[],4059377000000.0,,,False,0,0
35,9202,100,100,0,False,,1.1935218173308904,2261856000000.0,10.016304072905276,196639000000.0,153027000000.0,5.551693471136879,False,2479375000000.0,3620297000000.0,1130317000000.0,1349058000000.0,454709000000.0,False,[],2055928000000.0,,,False,0,0
36,9301,100,100,0,False,,0.29378778375348646,284065000000.0,11.615141608776286,20311000000.0,31864000000.0,2.9330750489440662,False,484737000000.0,626058000000.0,374665000000.0,110072000000.0,63390000000.0,False,[],254504000000.0,,,False,0,0
37,9432,100,100,0,False,,1.0929039688259758,13704727000000.0,2.468550575349381,1669639000000.0,1000016000000.0,5.463274092217942,False,21392800000000.0,30062483000000.0,10221587000000.0,11171213000000.0,1000994000000.0,False,[],13374569000000.0,,,False,0,0
38,9433,100,100,0,False,,0.9154007588036985,5917953000000.0,2.8485342577146135,1091172000000.0,685677000000.0,7.776380166260228,False,9822313000000.0,16876219000000.0,5128072000000.0,4694241000000.0,921175000000.0,False,[],5754047000000.0,,,False,0,0
39,9104,100,100,0,False,,0.6757226141366874,1775470000000.0,9.06424917317398,150852000000.0,425492000000.0,2.3454858519734736,False,4502112000000.0,4984449000000.0,2686669000000.0,1815443000000.0,163290000000.0,False,[],1627912000000.0,,,False,0,0
40,9022,100,100,0,False,,0.9364343356662509,1831847000000.0,7.100064487575179,702795000000.0,458423000000.0,5.522245166261216,False,8908632000000.0,10323345000000.0,4600534000000.0,4308098000000.0,259468000000.0,False,[],1710407000000.0,,,False,0,0
41,9984,100,100,0,False,,1.6358848703645994,7243752000000.0,7.211603640938356,729794000000.0,1153332000000.0,1.6763170703383317,False,30474891000000.0,45013756000000.0,11561541000000.0,18913350000000.0,3713028000000.0,False,[],6756500000000.0,,,False,0,0
42,6758,100,100,0,False,,0.5132490071512009,12957064000000.0,-0.48924917485665975,1412640000000.0,1141600000000.0,7.988760049995188,False,12377991000000.0,35293173000000.0,8179745000000.0,4198246000000.0,2980956000000.0,False,[],13020768000000.0,,,False,0,0
43,7203,100,100,0,False,,1.079834847355976,48036704000000.0,6.522580777497446,4795586000000.0,4765086000000.0,4.492790831838318,False,74717705000000.0,93601350000000.0,35924826000000.0,38792879000000.0,8982404000000.0,False,[],45095325000000.0,,,False,0,0
44,9434,100,100,0,False,,2.1730889369193367,6544349000000.0,7.56651625032339,989016000000.0,526133000000.0,7.952314909792135,False,8705782000000.0,16102195000000.0,2743630000000.0,5962152000000.0,1435525000000.0,False,[],6084002000000.0,,,False,0,0
45,8031,100,100,0,False,,0.6415141093059603,14662620000000.0,10.038902983592724,400654000000.0,900342000000.0,2.263970212808896,False,12387875000000.0,16811509000000.0,7546615000000.0,4841260000000.0,977356000000.0,False,[],13324942000000.0,,,False,0,0
46,9719,100,100,0,False,,1.0823141857113445,596065000000.0,24.10083550729013,66122000000.0,45035000000.0,7.627433144152873,False,606828000000.0,885029000000.0,291420000000.0,315408000000.0,105623000000.0,False,[],480307000000.0,,,False,0,0
47,9202,100,100,0,False,,1.1935218173308904,2261856000000.0,10.016304072905276,196639000000.0,153027000000.0,5.551693471136879,False,2479375000000.0,3620297000000.0,1130317000000.0,1349058000000.0,454709000000.0,False,[],2055928000000.0,,,False,0,0
48,9984,100,100,0,False,,1.6358848703645994,7243752000000.0,7.211603640938356,729794000000.0,1153332000000.0,1.6763170703383317,False,30474891000000.0,45013756000000.0,11561541000000.0,18913350000000.0,3713028000000.0,False,[],6756500000000.0,,,False,0,0
49,9104,100,100,0,False,,0.6757226141366874,1775470000000.0,9.06424917317398,150852000000.0,425492000000.0,2.3454858519734736,False,4502112000000.0,4984449000000.0,2686669000000.0,1815443000000.0,163290000000.0,False,[],1627912000000.0,,,False,0,0
50,7203,100,100,0,False,,1.079834847355976,48036704000000.0,6.522580777497446,4795586000000.0,4765086000000.0,4.492790831838318,False,74717705000000.0,93601350000000.0,35924826000000.0,38792879000000.0,8982404000000.0,False,[],45095325000000.0,,,False,0,0
51,9434,100,100,0,False,,2.1730889369193367,6544349000000.0,7.56651625032339,989016000000.0,526133000000.0,7.952314909792135,False,8705782000000.0,16102195000000.0,2743630000000.0,5962152000000.0,1435525000000.0,False,[],6084002000000.0,,,False,0,0
52,9503,100,100,0,False,,1.274302542979896,4337111000000.0,6.8417887769477925,468877000000.0,420364000000.0,4.707144675465298,False,6972675000000.0,9652655000000.0,3065852000000.0,3906823000000.0,942388000000.0,False,[],4059377000000.0,,,False,0,0
53,9432,100,100,0,False,,1.0929039688259758,13704727000000.0,2.468550575349381,1669639000000.0,1000016000000.0,5.463274092217942,False,21392800000000.0,30062483000000.0,10221587000000.0,11171213000000.0,1000994000000.0,False,[],13374569000000.0,,,False,0,0
54,9022,100,100,0,False,,0.9364343356662509,1831847000000.0,7.100064487575179,702795000000.0,458423000000.0,5.522245166261216,False,8908632000000.0,10323345000000.0,4600534000000.0,4308098000000.0,259468000000.0,False,[],1710407000000.0,,,False,0,0
55,8031,100,100,0,False,,0.6415141093059603,14662620000000.0,10.038902983592724,400654000000.0,900342000000.0,2.263970212808896,False,12387875000000.0,16811509000000.0,7546615000000.0,4841260000000.0,977356000000.0,False,[],13324942000000.0,,,False,0,0
56,8058,100,100,0,False,,0.5699076735611739,18617601000000.0,-4.8549640806760115,371097000000.0,950709000000.0,1.7661654705842036,False,14708016000000.0,21496104000000.0,9368714000000.0,5339302000000.0,1536624000000.0,False,[],19567601000000.0,,,False,0,0
57,9501,100,100,0,False,,1.6408339691021667,6810391000000.0,-1.5610139240528285,234453000000.0,161278000000.0,1.6531568833513623,False,9927497000000.0,14986993000000.0,3759228000000.0,6168269000000.0,936335000000.0,False,[],6918388000000.0,,,False,0,0
58,9502,100,100,0,False,,0.9894653659776,3669233000000.0,1.6291483469762749,242045000000.0,202087000000.0,3.0562940827690435,False,5543691000000.0,7124812000000.0,2786523000000.0,2757168000000.0,293547000000.0,False,[],3610414000000.0,,,False,0,0
59,9433,100,100,0,False,,0.9154007588036985,5917953000000.0,2.8485342577146135,1091172000000.0,685677000000.0,7.776380166260228,False,9822313000000.0,16876219000000.0,5128072000000.0,4694241000000.0,921175000000.0,False,[],5754047000000.0,,,False,0,0
60,6758,100,100,0,False,,0.5132490071512009,12957064000000.0,-0.48924917485665975,1412640000000.0,1141600000000.0,7.988760049995188,False,12377991000000.0,35293173000000.0,8179745000000.0,4198246000000.0,2980956000000.0,False,[],13020768000000.0,,,False,0,0
61,9301,100,100,0,False,,0.29378778375348646,284065000000.0,11.615141608776286,20311000000.0,31864000000.0,2.9330750489440662,False,484737000000.0,626058000000.0,374665000000.0,110072000000.0,63390000000.0,False,[],254504000000.0,,,False,0,0
62,4503,100,100,0,False,,0.5494288801292578,1912323000000.0,19.246516744072352,40248000000.0,50747000000.0,1.2015962939094913,False,2344681000000.0,3339544000000.0,1513255000000.0,831426000000.0,188372000000.0,False,[],1603672000000.0,,,False,0,0
